system:index,BuildingDensity,Latitude,Longitude,.geo
54,0,28.977489040536277,76.93217395219986,"{""type"":""Point"",""coordinates"":[76.93217395219986,28.977489040536277]}"
55,378,28.598689324829675,77.10432770179943,"{""type"":""Point"",""coordinates"":[77.10432770179943,28.598689324829675]}"
56,0,28.81009298597299,77.3438210735005,"{""type"":""Point"",""coordinates"":[77.3438210735005,28.81009298597299]}"
57,0,28.814636645173042,76.63361923863134,"{""type"":""Point"",""coordinates"":[76.63361923863134,28.814636645173042]}"
58,0,29.133297930710594,77.1680083687866,"{""type"":""Point"",""coordinates"":[77.1680083687866,29.133297930710594]}"
59,0,28.772430601331667,77.29937557175647,"{""type"":""Point"",""coordinates"":[77.29937557175647,28.772430601331667]}"
60,0,28.322579518419452,76.89049319874208,"{""type"":""Point"",""coordinates"":[76.89049319874208,28.322579518419452]}"
61,6527,28.640433965997214,77.04788392354797,"{""type"":""Point"",""coordinates"":[77.04788392354797,28.640433965997214]}"
62,2935,28.72492067822829,77.06916515315162,"{""type"":""Point"",""coordinates"":[77.06916515315162,28.72492067822829]}"
63,443,28.335131474082296,77.34471335531364,"{""type"":""Point"",""coordinates"":[77.34471335531364,28.335131474082296]}"
64,4067,28.485513383659498,77.29250693662586,"{""type"":""Point"",""coordinates"":[77.29250693662586,28.485513383659498]}"
65,682,28.376287275547785,77.10516979327448,"{""type"":""Point"",""coordinates"":[77.10516979327448,28.376287275547785]}"
66,0,28.422014569574408,77.23526893668544,"{""type"":""Point"",""coordinates"":[77.23526893668544,28.422014569574408]}"
67,0,29.018639808764494,76.8738153693592,"{""type"":""Point"",""coordinates"":[76.8738153693592,29.018639808764494]}"
68,0,28.516773494891222,76.89996727149074,"{""type"":""Point"",""coordinates"":[76.89996727149074,28.516773494891222]}"
69,1063,28.499592921849864,76.99559983627931,"{""type"":""Point"",""coordinates"":[76.99559983627931,28.499592921849864]}"
70,4545,28.43313127837479,77.00243889825619,"{""type"":""Point"",""coordinates"":[77.00243889825619,28.43313127837479]}"
71,39,28.37804740603249,76.86561607394329,"{""type"":""Point"",""coordinates"":[76.86561607394329,28.37804740603249]}"
72,0,28.870616646925505,77.35438460728679,"{""type"":""Point"",""coordinates"":[77.35438460728679,28.870616646925505]}"
73,0,28.8404741246997,76.71594939785011,"{""type"":""Point"",""coordinates"":[76.71594939785011,28.8404741246997]}"
74,0,28.93672600544866,76.76859213300311,"{""type"":""Point"",""coordinates"":[76.76859213300311,28.93672600544866]}"
