system:index,BuildingDensity,Humidity,LST,Latitude,Longitude,NDVI,WindSpeed,.geo
0,0,98.02551721877623,44.23191926000004,13.030875423266895,77.37196969829766,0.35498376217836625,1.9471423665068497,"{""type"":""Point"",""coordinates"":[77.37196969829766,13.030875423266895]}"
1,0,98.33721774579878,34.743495740000014,12.526562475616213,77.58073052885418,0.6295228484935851,1.9617975329532855,"{""type"":""Point"",""coordinates"":[77.58073052885418,12.526562475616213]}"
2,89,97.72308614487922,43.23043940000002,12.835028550078064,77.99084003696717,0.3266228430566968,2.3919882052754136,"{""type"":""Point"",""coordinates"":[77.99084003696717,12.835028550078064]}"
3,0,97.78593248081502,40.571219840000026,13.323594552405877,77.73868069701628,0.32007952286282304,2.1653944941721908,"{""type"":""Point"",""coordinates"":[77.73868069701628,13.323594552405877]}"
4,0,98.21510474847989,37.30701074000001,12.732123722336302,77.57164000943936,0.4147521160822249,2.1231552255028396,"{""type"":""Point"",""coordinates"":[77.57164000943936,12.732123722336302]}"
5,688,98.02234093708785,36.16197404000002,12.761913251672306,77.28704784573168,0.33076074972436603,1.7850403581205085,"{""type"":""Point"",""coordinates"":[77.28704784573168,12.761913251672306]}"
6,8,98.00508839619593,34.94515892000004,12.878117813927448,77.71683196669859,0.281722635221738,2.3023884999545596,"{""type"":""Point"",""coordinates"":[77.71683196669859,12.878117813927448]}"
7,0,98.00999546801523,41.78461693999998,12.678011430057575,77.81739358494323,0.4160295930949445,2.3377589313782567,"{""type"":""Point"",""coordinates"":[77.81739358494323,12.678011430057575]}"
8,4742,97.79193643004963,44.25242738000003,13.316558645468408,77.49225684428305,0.2798365917712285,2.0496245176326524,"{""type"":""Point"",""coordinates"":[77.49225684428305,13.316558645468408]}"
9,0,97.85734156167018,42.31782806000001,13.190827319113428,77.4475957317335,0.29717909468620163,1.9923238910859988,"{""type"":""Point"",""coordinates"":[77.4475957317335,13.190827319113428]}"
10,0,98.02551721877623,40.50627745999998,13.04034569674716,77.37698623023705,0.5756676557863502,1.9471423665068497,"{""type"":""Point"",""coordinates"":[77.37698623023705,13.04034569674716]}"
11,28,98.05987544411983,39.15274154000002,12.907031763140791,77.55570708328291,0.3372151898734177,2.1791265114116354,"{""type"":""Point"",""coordinates"":[77.55570708328291,12.907031763140791]}"
12,494,97.97902404269689,44.90868722000005,13.092991823957323,77.46209810790275,0.2257703081232493,2.072845077961183,"{""type"":""Point"",""coordinates"":[77.46209810790275,13.092991823957323]}"
13,244,97.7143668993032,38.12733553999999,13.36961800953977,77.58364938522821,0.06917363045496751,2.0887043050149057,"{""type"":""Point"",""coordinates"":[77.58364938522821,13.36961800953977]}"
14,0,97.72308614487922,39.573158000000035,12.84055003776803,78.01757738617749,0.2994236311239193,2.3919882052754136,"{""type"":""Point"",""coordinates"":[78.01757738617749,12.84055003776803]}"
15,0,98.00372773585488,34.80502009999998,12.875490496856004,77.22939393638659,0.5309425579181213,1.8036561592886433,"{""type"":""Point"",""coordinates"":[77.22939393638659,12.875490496856004]}"
16,0,97.96511865625696,34.34358740000005,12.676661017702964,77.33859774319578,0.7018544935805991,1.7916244122947607,"{""type"":""Point"",""coordinates"":[77.33859774319578,12.676661017702964]}"
17,0,98.09799561998094,40.74895688000004,12.609276147743723,77.7675638760095,0.43090260071392145,2.208198545271013,"{""type"":""Point"",""coordinates"":[77.7675638760095,12.609276147743723]}"
18,0,97.83546107471165,35.58774668000001,13.154186421436272,77.20929557253814,0.5633578040217044,1.9043534218665739,"{""type"":""Point"",""coordinates"":[77.20929557253814,13.154186421436272]}"
19,5,97.73383129740971,40.424244980000026,12.896633052238176,78.04061036570512,0.44383529686224193,2.37590897381325,"{""type"":""Point"",""coordinates"":[78.04061036570512,12.896633052238176]}"
20,0,97.9176377051456,41.80170704,13.241092497317053,77.58849642981536,0.1996608732513777,2.1321841638611683,"{""type"":""Point"",""coordinates"":[77.58849642981536,13.241092497317053]}"
21,3693,98.00999546801523,38.07264722000002,12.744591411830585,77.80247208080426,0.12814017310534093,2.3377589313782567,"{""type"":""Point"",""coordinates"":[77.80247208080426,12.744591411830585]}"
22,4635,98.05987544411983,39.395420960000024,12.946017955749344,77.56543027128295,0.1763290834736589,2.1791265114116354,"{""type"":""Point"",""coordinates"":[77.56543027128295,12.946017955749344]}"
23,0,98.04996575166804,36.05943344000002,12.881053332497677,77.5212072586337,0.627906976744186,2.0089352472159816,"{""type"":""Point"",""coordinates"":[77.5212072586337,12.881053332497677]}"
24,0,98.09799561998094,39.65177246000002,12.628607435581172,77.77994789512607,0.38229273285568066,2.208198545271013,"{""type"":""Point"",""coordinates"":[77.77994789512607,12.628607435581172]}"
25,591,97.9359033590208,40.48235132000002,13.097198520450137,77.65194884484227,0.3814202769093345,2.216465113829917,"{""type"":""Point"",""coordinates"":[77.65194884484227,13.097198520450137]}"
26,0,97.73383129740971,45.03857198000003,12.873283868456221,77.95731885323649,0.18099968953741075,2.37590897381325,"{""type"":""Point"",""coordinates"":[77.95731885323649,12.873283868456221]}"
27,0,97.68676507656336,42.93648968000002,13.199629334516272,77.90531286156525,0.39578726870708714,2.2775692077794716,"{""type"":""Point"",""coordinates"":[77.90531286156525,13.199629334516272]}"
28,734,98.08704849794819,35.53989439999998,12.838341736661382,77.51149450644338,0.6504484914378907,2.0210835477894467,"{""type"":""Point"",""coordinates"":[77.51149450644338,12.838341736661382]}"
29,4714,98.05987544411983,39.921796040000004,12.854707544609381,77.57913017204358,0.2524199553239017,2.1791265114116354,"{""type"":""Point"",""coordinates"":[77.57913017204358,12.854707544609381]}"
30,0,97.9176377051456,36.66784100000001,13.203726568792899,77.61091109098608,0.5671879987232684,2.1321841638611683,"{""type"":""Point"",""coordinates"":[77.61091109098608,13.203726568792899]}"
