system:index,Latitude,Longitude,NDVI,.geo
0,28.763245082508035,76.85507407557049,0.09416074121956475,"{""type"":""Point"",""coordinates"":[76.85507407557049,28.763245082508035]}"
1,28.259061971160698,77.08712866451135,0.15065594583157005,"{""type"":""Point"",""coordinates"":[77.08712866451135,28.259061971160698]}"
2,28.567116114634253,77.54239395010515,0.3990596532471349,"{""type"":""Point"",""coordinates"":[77.54239395010515,28.567116114634253]}"
3,29.056039872262666,77.26288831915188,0.3442985147907205,"{""type"":""Point"",""coordinates"":[77.26288831915188,29.056039872262666]}"
4,28.464622338329754,77.07702492805883,0.1397121083827265,"{""type"":""Point"",""coordinates"":[77.07702492805883,28.464622338329754]}"
5,28.49416487980317,76.76120229705361,0.17759265966437282,"{""type"":""Point"",""coordinates"":[76.76120229705361,28.49416487980317]}"
6,28.610578557148266,77.23823088940367,0.19119266055045872,"{""type"":""Point"",""coordinates"":[77.23823088940367,28.610578557148266]}"
7,28.410381152398564,77.34962487726166,0.1727190423498642,"{""type"":""Point"",""coordinates"":[77.34962487726166,28.410381152398564]}"
8,29.049031057557375,76.98857768542635,0.16488222698072805,"{""type"":""Point"",""coordinates"":[76.98857768542635,29.049031057557375]}"
9,28.923270439401307,76.93897792941118,0.14885674288380774,"{""type"":""Point"",""coordinates"":[76.93897792941118,28.923270439401307]}"
10,28.77272115720466,76.86063662797889,0.5338461538461539,"{""type"":""Point"",""coordinates"":[76.86063662797889,28.77272115720466]}"
11,28.639527787970692,77.05930495438166,0.3261505719606278,"{""type"":""Point"",""coordinates"":[77.05930495438166,28.639527787970692]}"
12,28.82544563842541,76.95518982767095,0.18147304479878512,"{""type"":""Point"",""coordinates"":[76.95518982767095,28.82544563842541]}"
13,29.102117693598192,77.09030682537136,0.019290603609209707,"{""type"":""Point"",""coordinates"":[77.09030682537136,29.102117693598192]}"
14,28.57258005029669,77.57209115736863,0.20801270306583608,"{""type"":""Point"",""coordinates"":[77.57209115736863,28.57258005029669]}"
15,28.607640057597834,76.69696822589087,0.11681643132220795,"{""type"":""Point"",""coordinates"":[76.69696822589087,28.607640057597834]}"
16,28.408989009691517,76.81854190487641,0.19120387625792024,"{""type"":""Point"",""coordinates"":[76.81854190487641,28.408989009691517]}"
17,28.34169765831396,77.29428063648487,0.1730690918962943,"{""type"":""Point"",""coordinates"":[77.29428063648487,28.34169765831396]}"
18,28.88629574691644,76.67398961492073,0.16279069767441862,"{""type"":""Point"",""coordinates"":[76.67398961492073,28.88629574691644]}"
19,29.038377223346686,77.42623166875467,0.4376594148537134,"{""type"":""Point"",""coordinates"":[77.42623166875467,29.038377223346686]}"
20,28.973592399239536,77.09570871789643,0.40660592255125283,"{""type"":""Point"",""coordinates"":[77.09570871789643,28.973592399239536]}"
21,28.476977958682998,77.33315852971629,0.07160135462022255,"{""type"":""Point"",""coordinates"":[77.33315852971629,28.476977958682998]}"
22,28.67851571922852,77.07009668035462,0.09474755182500318,"{""type"":""Point"",""coordinates"":[77.07009668035462,28.67851571922852]}"
23,28.613539179173465,77.02100065663772,0.05655655655655656,"{""type"":""Point"",""coordinates"":[77.02100065663772,28.613539179173465]}"
24,28.36101729468671,77.30803379595204,0.5509708737864077,"{""type"":""Point"",""coordinates"":[77.30803379595204,28.36101729468671]}"
25,28.82968986835042,77.1662595945571,0.24333760037239613,"{""type"":""Point"",""coordinates"":[77.1662595945571,28.82968986835042]}"
26,28.605438190410805,77.5052650236439,0.12037852112676056,"{""type"":""Point"",""coordinates"":[77.5052650236439,28.605438190410805]}"
27,28.931875215926397,77.4481419600708,0.37833675564681724,"{""type"":""Point"",""coordinates"":[77.4481419600708,28.931875215926397]}"
28,28.57082359365998,77.01023687148701,0.33964984552008237,"{""type"":""Point"",""coordinates"":[77.01023687148701,28.57082359365998]}"
29,28.587206915885222,77.08532395173123,0.08612793617964248,"{""type"":""Point"",""coordinates"":[77.08532395173123,28.587206915885222]}"
30,28.93622586847619,77.12064515489413,0.2506787330316742,"{""type"":""Point"",""coordinates"":[77.12064515489413,28.93622586847619]}"
31,28.605547328446587,77.13867355543606,0.3598400710795202,"{""type"":""Point"",""coordinates"":[77.13867355543606,28.605547328446587]}"
32,28.940028696556407,77.27984963962385,0.1681508643268727,"{""type"":""Point"",""coordinates"":[77.27984963962385,28.940028696556407]}"
33,28.277669714726287,76.99196562259921,0.15266841644794402,"{""type"":""Point"",""coordinates"":[76.99196562259921,28.277669714726287]}"
34,28.83773555169441,77.16017662072355,0.18650019508388607,"{""type"":""Point"",""coordinates"":[77.16017662072355,28.83773555169441]}"
35,28.821672112949415,77.34049320121916,0.6093658536585366,"{""type"":""Point"",""coordinates"":[77.34049320121916,28.821672112949415]}"
36,28.319322049748145,77.20338981644719,0.13385826771653545,"{""type"":""Point"",""coordinates"":[77.20338981644719,28.319322049748145]}"
37,28.871111925772958,77.36172796919925,0.4377529159723875,"{""type"":""Point"",""coordinates"":[77.36172796919925,28.871111925772958]}"
38,29.04071478458728,76.86976235551666,0.18452380952380953,"{""type"":""Point"",""coordinates"":[76.86976235551666,29.04071478458728]}"
39,28.883987133880247,77.27029157879898,0.1540130151843818,"{""type"":""Point"",""coordinates"":[77.27029157879898,28.883987133880247]}"
40,28.86619347465763,77.40222069233228,0.6250728862973761,"{""type"":""Point"",""coordinates"":[77.40222069233228,28.86619347465763]}"
41,28.45238092533202,77.0185888275433,0.24872057318321392,"{""type"":""Point"",""coordinates"":[77.0185888275433,28.45238092533202]}"
42,28.685581789734822,77.50480478540635,0.15401993355481727,"{""type"":""Point"",""coordinates"":[77.50480478540635,28.685581789734822]}"
43,28.79193613619353,77.57974316861605,0.31794871794871793,"{""type"":""Point"",""coordinates"":[77.57974316861605,28.79193613619353]}"
44,28.50594286700718,76.87140642451828,0.2698412698412698,"{""type"":""Point"",""coordinates"":[76.87140642451828,28.50594286700718]}"
45,28.485444527205374,77.53055088549681,0.23721657544956998,"{""type"":""Point"",""coordinates"":[77.53055088549681,28.485444527205374]}"
46,28.99940887123392,76.98378905403695,0.26311372219890894,"{""type"":""Point"",""coordinates"":[76.98378905403695,28.99940887123392]}"
47,28.583948902241055,76.96569324819139,0.24843243243243243,"{""type"":""Point"",""coordinates"":[76.96569324819139,28.583948902241055]}"
48,29.004216287915526,77.13201147024296,0.23405336721728082,"{""type"":""Point"",""coordinates"":[77.13201147024296,29.004216287915526]}"
49,28.274400333700456,77.22365327182598,0.6891255375793569,"{""type"":""Point"",""coordinates"":[77.22365327182598,28.274400333700456]}"
50,28.93447342715504,77.42780856631371,0.30814814814814817,"{""type"":""Point"",""coordinates"":[77.42780856631371,28.93447342715504]}"
51,28.313007807300203,77.13868005518557,0.27261423686664593,"{""type"":""Point"",""coordinates"":[77.13868005518557,28.313007807300203]}"
52,29.005538096302562,77.3085276776648,0.4682926829268293,"{""type"":""Point"",""coordinates"":[77.3085276776648,29.005538096302562]}"
