system:index,BuildingDensity,Humidity,LST,Latitude,Longitude,NDVI,WindSpeed,.geo
0,347,96.93732411589914,44.42674640000001,17.44424143305932,78.25934651095524,0.310736934178876,2.010143564717981,"{""type"":""Point"",""coordinates"":[78.25934651095524,17.44424143305932]}"
1,0,97.02451372849093,45.88624093999999,16.996732819682848,78.70317266238122,0.29679715302491105,2.0010394969242413,"{""type"":""Point"",""coordinates"":[78.70317266238122,16.996732819682848]}"
2,2794,96.8462001107468,42.25630369999999,17.248320909031417,78.89123195948692,0.21148285832300703,1.7244297198004692,"{""type"":""Point"",""coordinates"":[78.89123195948692,17.248320909031417]}"
3,587,96.91052186396783,36.1893182,17.736980310071203,78.63389976884747,0.2042473454091193,1.8057301764466023,"{""type"":""Point"",""coordinates"":[78.63389976884747,17.736980310071203]}"
4,0,97.13222591592462,46.72023782000002,17.14552336097696,78.46326300835517,0.4849164796808776,2.0559658849874056,"{""type"":""Point"",""coordinates"":[78.46326300835517,17.14552336097696]}"
5,3,97.08020869395212,43.82517488000002,17.175248410102537,78.17274492001076,0.4867934495509773,2.049178509529203,"{""type"":""Point"",""coordinates"":[78.17274492001076,17.175248410102537]}"
6,4233,96.9360065824226,44.33104184000001,17.291507570164214,78.61149764089757,0.18979914240577747,2.0618692748019973,"{""type"":""Point"",""coordinates"":[78.61149764089757,17.291507570164214]}"
7,0,96.9738011631253,45.70850389999998,17.09137740729649,78.71410444714527,0.3836744295459892,2.0131412468410157,"{""type"":""Point"",""coordinates"":[78.71410444714527,17.09137740729649]}"
8,38,96.90010717686327,44.09861648000003,17.729951459541056,78.38214237476795,0.5592479230432882,1.8196369872274594,"{""type"":""Point"",""coordinates"":[78.38214237476795,17.729951459541056]}"
9,0,96.97113352272862,40.24992596000004,17.60421249577659,78.33654224389569,0.4532287266143633,1.8512930320759597,"{""type"":""Point"",""coordinates"":[78.33654224389569,17.60421249577659]}"
10,0,96.90331438117104,45.20947297999999,17.453713220638708,78.26446642843699,0.34594939400382735,1.9223552420158627,"{""type"":""Point"",""coordinates"":[78.26446642843699,17.453713220638708]}"
11,3774,96.98011951535828,43.996075880000035,17.320430725971498,78.44698905512607,0.13462267728479332,2.100280874336576,"{""type"":""Point"",""coordinates"":[78.44698905512607,17.320430725971498]}"
12,2269,96.91605080025289,46.077650059999996,17.506379782783206,78.35137487270673,0.36783011959970713,1.9367204304961227,"{""type"":""Point"",""coordinates"":[78.35137487270673,17.506379782783206]}"
13,2513,96.89001589954552,41.94184586000006,17.78301792726331,78.47551157863931,0.35919732441471575,1.7859999852666066,"{""type"":""Point"",""coordinates"":[78.47551157863931,17.78301792726331]}"
14,0,96.8227307597439,40.63274420000005,17.253827379069513,78.91853225258858,0.46564531104921075,1.7134383172811969,"{""type"":""Point"",""coordinates"":[78.91853225258858,17.253827379069513]}"
15,0,97.04332100067664,47.05178576000003,17.28879905126093,78.11382966871183,0.21045515998197387,2.031761373406349,"{""type"":""Point"",""coordinates"":[78.11382966871183,17.28879905126093]}"
16,773,97.17463005633518,45.76319222000001,17.090016096565314,78.22540011998548,0.3333333333333333,1.9985583809006724,"{""type"":""Point"",""coordinates"":[78.22540011998548,17.090016096565314]}"
17,0,97.02451372849093,46.976589320000016,17.02265564404328,78.66322601399119,0.3224076884167931,2.0010394969242413,"{""type"":""Point"",""coordinates"":[78.66322601399119,17.02265564404328]}"
18,0,96.86635696042678,53.723760800000036,17.567484592893702,78.09315109270628,0.2315628582346198,1.9044962176585496,"{""type"":""Point"",""coordinates"":[78.09315109270628,17.567484592893702]}"
19,0,96.8227307597439,36.54821030000005,17.27033572024323,78.92985038557678,0.5775329212577264,1.7134383172811969,"{""type"":""Point"",""coordinates"":[78.92985038557678,17.27033572024323]}"
20,0,96.89636500516555,44.22166520000002,17.654492471761472,78.48046504413354,0.22566371681415928,1.8209840395005172,"{""type"":""Point"",""coordinates"":[78.48046504413354,17.654492471761472]}"
21,0,96.92592859738508,45.91016708000001,17.15796179093037,78.6988944874543,0.35626535626535627,2.027818365881521,"{""type"":""Point"",""coordinates"":[78.6988944874543,17.15796179093037]}"
22,2702,96.93805650546616,43.90378934,17.359417372307746,78.45691507300859,0.20798957881024752,2.0271754117388974,"{""type"":""Point"",""coordinates"":[78.45691507300859,17.359417372307746]}"
