Latitude,Longitude,Humidity
28.25650726197955,77.07994295387554,95.09565031769004
28.25650726197955,77.08892610671674,95.09565031769004
28.25650726197955,77.09790925955794,95.09565031769004
28.25650726197955,77.10689241239913,95.09565031769004
28.265490414820743,77.01706088398718,94.98607846447894
28.265490414820743,77.02604403682838,94.98607846447894
28.265490414820743,77.03502718966956,94.98607846447894
28.265490414820743,77.04401034251076,94.98607846447894
28.265490414820743,77.05299349535196,95.09565031769004
28.265490414820743,77.06197664819315,95.09565031769004
28.265490414820743,77.07095980103435,95.09565031769004
28.265490414820743,77.07994295387554,95.09565031769004
28.265490414820743,77.08892610671674,95.09565031769004
28.265490414820743,77.09790925955794,95.09565031769004
28.265490414820743,77.10689241239913,95.09565031769004
28.265490414820743,77.11587556524033,95.09565031769004
28.265490414820743,77.12485871808153,95.09565031769004
28.265490414820743,77.13384187092272,95.09565031769004
28.265490414820743,77.14282502376392,95.09565031769004
28.265490414820743,77.1518081766051,95.18434898273964
28.265490414820743,77.1607913294463,95.18434898273964
28.265490414820743,77.1697744822875,95.18434898273964
28.265490414820743,77.17875763512869,95.18434898273964
28.265490414820743,77.18774078796989,95.18434898273964
28.265490414820743,77.19672394081108,95.18434898273964
28.27447356766194,76.95417881409881,94.98607846447894
28.27447356766194,76.96316196694,94.98607846447894
28.27447356766194,76.9721451197812,94.98607846447894
28.27447356766194,76.9811282726224,94.98607846447894
28.27447356766194,76.9901114254636,94.98607846447894
28.27447356766194,76.99909457830479,94.98607846447894
28.27447356766194,77.00807773114599,94.98607846447894
28.27447356766194,77.01706088398718,94.98607846447894
28.27447356766194,77.02604403682838,94.98607846447894
28.27447356766194,77.03502718966956,94.98607846447894
28.27447356766194,77.04401034251076,94.98607846447894
28.27447356766194,77.05299349535196,95.09565031769004
28.27447356766194,77.06197664819315,95.09565031769004
28.27447356766194,77.07095980103435,95.09565031769004
28.27447356766194,77.07994295387554,95.09565031769004
28.27447356766194,77.08892610671674,95.09565031769004
28.27447356766194,77.09790925955794,95.09565031769004
28.27447356766194,77.10689241239913,95.09565031769004
28.27447356766194,77.11587556524033,95.09565031769004
28.27447356766194,77.12485871808153,95.09565031769004
28.27447356766194,77.13384187092272,95.09565031769004
28.27447356766194,77.14282502376392,95.09565031769004
28.27447356766194,77.1518081766051,95.18434898273964
28.27447356766194,77.1607913294463,95.18434898273964
28.27447356766194,77.1697744822875,95.18434898273964
28.27447356766194,77.17875763512869,95.18434898273964
28.27447356766194,77.18774078796989,95.18434898273964
28.27447356766194,77.19672394081108,95.18434898273964
28.27447356766194,77.20570709365228,95.18434898273964
28.27447356766194,77.21469024649348,95.18434898273964
28.27447356766194,77.22367339933467,95.18434898273964
28.27447356766194,77.23265655217587,95.18434898273964
28.27447356766194,77.24163970501706,95.18434898273964
28.283456720503136,76.93621250841642,94.89084374290692
28.283456720503136,76.94519566125761,94.89084374290692
28.283456720503136,76.95417881409881,94.98607846447894
28.283456720503136,76.96316196694,94.98607846447894
28.283456720503136,76.9721451197812,94.98607846447894
28.283456720503136,76.9811282726224,94.98607846447894
28.283456720503136,76.9901114254636,94.98607846447894
28.283456720503136,76.99909457830479,94.98607846447894
28.283456720503136,77.00807773114599,94.98607846447894
28.283456720503136,77.01706088398718,94.98607846447894
28.283456720503136,77.02604403682838,94.98607846447894
28.283456720503136,77.03502718966956,94.98607846447894
28.283456720503136,77.04401034251076,94.98607846447894
28.283456720503136,77.05299349535196,95.09565031769004
28.283456720503136,77.06197664819315,95.09565031769004
28.283456720503136,77.07095980103435,95.09565031769004
28.283456720503136,77.07994295387554,95.09565031769004
28.283456720503136,77.08892610671674,95.09565031769004
28.283456720503136,77.09790925955794,95.09565031769004
28.283456720503136,77.10689241239913,95.09565031769004
28.283456720503136,77.11587556524033,95.09565031769004
28.283456720503136,77.12485871808153,95.09565031769004
28.283456720503136,77.13384187092272,95.09565031769004
28.283456720503136,77.14282502376392,95.09565031769004
28.283456720503136,77.1518081766051,95.18434898273964
28.283456720503136,77.1607913294463,95.18434898273964
28.283456720503136,77.1697744822875,95.18434898273964
28.283456720503136,77.17875763512869,95.18434898273964
28.283456720503136,77.18774078796989,95.18434898273964
28.283456720503136,77.19672394081108,95.18434898273964
28.283456720503136,77.20570709365228,95.18434898273964
28.283456720503136,77.21469024649348,95.18434898273964
28.283456720503136,77.22367339933467,95.18434898273964
28.283456720503136,77.23265655217587,95.18434898273964
28.283456720503136,77.24163970501706,95.18434898273964
28.283456720503136,77.25062285785826,95.23738561693662
28.283456720503136,77.25960601069944,95.23738561693662
28.283456720503136,77.26858916354064,95.23738561693662
