City,Source,StartDate,EndDate,Latitude,Longitude,NDVI,LST
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.646870168693688,77.46877872460668,0.3045649627639425,41.213807599999996
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.42696258714123,76.85352258651322,0.20756417412143022,49.796455820000006
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,29.039254284797096,77.21033341736549,0.2159893109965385,37.93421741000003
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.75547648654374,77.29953612507856,0.1656803228948067,40.89764075000002
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.39435374232769,77.5523220460298,0.39143850337509967,38.84853776
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.866238761075678,77.36071139592711,0.3402719608125928,38.45888348
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.244514752936556,77.0141413593138,0.3130062912003725,46.43483315000003
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.263918363073536,77.31381933809607,0.33071454576810316,43.59616754000001
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.891840746673083,77.33295345364782,0.3151310896711714,38.16151574000003
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.701038580326095,76.7540790845612,0.21851103654882742,47.56107074000002
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.648487136205105,76.82064424711444,0.23744515864018417,42.06660359
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.273620168142028,77.396015186593,0.18581081081081088,44.64549968000006
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.238855366646604,77.50435200985781,0.2824431833890645,39.210847880000046
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.489754825501183,76.88208901254822,0.30780175480199184,43.322725940000055
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.629622515238594,76.79234731566468,0.22417909352561044,45.88965896000002
Delhi,Landsat 8/9 Collection 2 Level 2,2025-04-01,2025-06-30,28.818268724903692,77.38307944650168,0.2013468404400454,40.25676199999998
