system:index,Latitude,Longitude,WindSpeed,.geo
0,28.25650726197955,77.07994295387554,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07994295387554,28.25650726197955]}"
1,28.25650726197955,77.08892610671674,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08892610671674,28.25650726197955]}"
2,28.25650726197955,77.09790925955794,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09790925955794,28.25650726197955]}"
3,28.25650726197955,77.10689241239913,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10689241239913,28.25650726197955]}"
4,28.265490414820746,77.01706088398718,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01706088398718,28.265490414820746]}"
5,28.265490414820746,77.02604403682838,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02604403682838,28.265490414820746]}"
6,28.265490414820746,77.03502718966956,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03502718966956,28.265490414820746]}"
7,28.265490414820746,77.04401034251076,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04401034251076,28.265490414820746]}"
8,28.265490414820746,77.05299349535196,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05299349535196,28.265490414820746]}"
9,28.265490414820746,77.06197664819315,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06197664819315,28.265490414820746]}"
10,28.265490414820746,77.07095980103435,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07095980103435,28.265490414820746]}"
11,28.265490414820746,77.07994295387554,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07994295387554,28.265490414820746]}"
12,28.265490414820746,77.08892610671674,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08892610671674,28.265490414820746]}"
13,28.265490414820746,77.09790925955794,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09790925955794,28.265490414820746]}"
14,28.265490414820746,77.10689241239913,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10689241239913,28.265490414820746]}"
15,28.265490414820746,77.11587556524033,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11587556524033,28.265490414820746]}"
16,28.265490414820746,77.12485871808153,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12485871808153,28.265490414820746]}"
17,28.265490414820746,77.13384187092272,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13384187092272,28.265490414820746]}"
18,28.265490414820746,77.14282502376392,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14282502376392,28.265490414820746]}"
19,28.265490414820746,77.1518081766051,0.7568570107031383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1518081766051,28.265490414820746]}"
20,28.265490414820746,77.1607913294463,0.7568570107031383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1607913294463,28.265490414820746]}"
21,28.265490414820746,77.1697744822875,0.7568570107031383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1697744822875,28.265490414820746]}"
22,28.265490414820746,77.17875763512869,0.7568570107031383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17875763512869,28.265490414820746]}"
23,28.265490414820746,77.18774078796989,0.7568570107031383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18774078796989,28.265490414820746]}"
24,28.265490414820746,77.19672394081108,0.7568570107031383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19672394081108,28.265490414820746]}"
25,28.27447356766194,76.95417881409881,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95417881409881,28.27447356766194]}"
26,28.27447356766194,76.96316196694,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96316196694,28.27447356766194]}"
27,28.27447356766194,76.9721451197812,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9721451197812,28.27447356766194]}"
28,28.27447356766194,76.9811282726224,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9811282726224,28.27447356766194]}"
29,28.27447356766194,76.9901114254636,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9901114254636,28.27447356766194]}"
30,28.27447356766194,76.99909457830479,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99909457830479,28.27447356766194]}"
31,28.27447356766194,77.00807773114599,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00807773114599,28.27447356766194]}"
32,28.27447356766194,77.01706088398718,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01706088398718,28.27447356766194]}"
33,28.27447356766194,77.02604403682838,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02604403682838,28.27447356766194]}"
34,28.27447356766194,77.03502718966956,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03502718966956,28.27447356766194]}"
35,28.27447356766194,77.04401034251076,0.6735881241683215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04401034251076,28.27447356766194]}"
36,28.27447356766194,77.05299349535196,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05299349535196,28.27447356766194]}"
37,28.27447356766194,77.06197664819315,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06197664819315,28.27447356766194]}"
38,28.27447356766194,77.07095980103435,0.7102737602618262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07095980103435,28.27447356766194]}"
